SET,BigFive,Question Code,Question
6,Conscientiousness,CSN8,I am currently working on being more proactive and responsible in fulfilling my duties.
6,Conscientiousness,CSN9,I follow a schedule.
6,Neuroticism,EST1,I get stressed out easily.
6,Neuroticism,EST10,I often feel blue.
6,Neuroticism,EST8,I have frequent mood swings.
6,Neuroticism,EST9,I have a low tolerance for irritation.
6,Extraversion,EXT1,I am the life of the party.
6,Extraversion,EXT4,I keep in the background.
6,Extraversion,EXT5,I start conversations.
6,Extraversion,EXT8,I don't like to draw attention to myself.
6,Openness,OPN3,I have a vivid imagination.
6,Openness,OPN8,I have a tendency to incorporate complex vocabulary in my communication.
6,Openness,OPN9,I spend time reflecting on things.
7,Agreeableness,AGR10,I make people feel at ease.
7,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
7,Agreeableness,AGR4,I sympathize with others' feelings.
7,Agreeableness,AGR8,I take time out for others.
7,Agreeableness,AGR9,I feel others' emotions.
7,Conscientiousness,CSN10,I am exacting in my work.
7,Conscientiousness,CSN2,I prefer to have my belongings conveniently accessible in various locations.
7,Conscientiousness,CSN3,I pay attention to details.
7,Conscientiousness,CSN9,I follow a schedule.
7,Neuroticism,EST4,I seldom feel blue.
7,Neuroticism,EST6,I get upset easily.
7,Neuroticism,EST8,I have frequent mood swings.
7,Neuroticism,EST9,I have a low tolerance for irritation.
7,Extraversion,EXT1,I am the life of the party.
7,Extraversion,EXT3,I feel comfortable around people.
7,Extraversion,EXT5,I start conversations.
7,Extraversion,EXT8,I don't like to draw attention to myself.
7,Openness,OPN10,I am full of ideas.
7,Openness,OPN2,I have difficulty understanding abstract ideas.
7,Openness,OPN9,I spend time reflecting on things.
8,Agreeableness,AGR10,I make people feel at ease.
8,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
8,Agreeableness,AGR4,I sympathize with others' feelings.
8,Agreeableness,AGR8,I take time out for others.
8,Conscientiousness,CSN2,I prefer to have my belongings conveniently accessible in various locations.
8,Conscientiousness,CSN3,I pay attention to details.
8,Conscientiousness,CSN8,I am currently working on being more proactive and responsible in fulfilling my duties.
8,Conscientiousness,CSN9,I follow a schedule.
8,Neuroticism,EST10,I often feel blue.
8,Neuroticism,EST2,I am relaxed most of the time.
8,Neuroticism,EST7,I change my mood a lot.
8,Neuroticism,EST9,I have a low tolerance for irritation.
8,Extraversion,EXT3,I feel comfortable around people.
8,Extraversion,EXT5,I start conversations.
8,Extraversion,EXT6,I have little to say.
8,Extraversion,EXT8,I don't like to draw attention to myself.
8,Openness,OPN1,I have a rich vocabulary.
8,Openness,OPN6,I am currently exploring ways to enhance and stimulate my imagination.
8,Openness,OPN7,I am quick to understand things.
8,Openness,OPN9,I spend time reflecting on things.
9,Agreeableness,AGR10,I make people feel at ease.
9,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
9,Agreeableness,AGR4,I sympathize with others' feelings.
9,Agreeableness,AGR8,I take time out for others.
9,Conscientiousness,CSN1,I am always prepared.
9,Conscientiousness,CSN3,I pay attention to details.
9,Conscientiousness,CSN5,I get chores done right away.
9,Conscientiousness,CSN8,I am currently working on being more proactive and responsible in fulfilling my duties.
9,Neuroticism,EST1,I get stressed out easily.
9,Neuroticism,EST10,I often feel blue.
9,Neuroticism,EST7,I change my mood a lot.
9,Neuroticism,EST9,I have a low tolerance for irritation.
9,Extraversion,EXT1,I am the life of the party.
9,Extraversion,EXT4,I keep in the background.
9,Extraversion,EXT5,I start conversations.
9,Extraversion,EXT8,I don't like to draw attention to myself.
9,Openness,OPN10,I am full of ideas.
9,Openness,OPN2,I have difficulty understanding abstract ideas.
9,Openness,OPN7,I am quick to understand things.
9,Openness,OPN9,I spend time reflecting on things.
10,Agreeableness,AGR10,I make people feel at ease.
10,Agreeableness,AGR2,I am interested in people.
10,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
10,Agreeableness,AGR8,I take time out for others.
10,Agreeableness,AGR9,I feel others' emotions.
10,Conscientiousness,CSN1,I am always prepared.
10,Conscientiousness,CSN10,I am exacting in my work.
10,Conscientiousness,CSN3,I pay attention to details.
10,Conscientiousness,CSN4,I have a creative way of arranging things that may appear messy.
10,Neuroticism,EST10,I often feel blue.
10,Neuroticism,EST2,I am relaxed most of the time.
10,Neuroticism,EST8,I have frequent mood swings.
10,Neuroticism,EST9,I have a low tolerance for irritation.
10,Extraversion,EXT2,I prefer to listen more than I speak.
10,Extraversion,EXT4,I keep in the background.
10,Extraversion,EXT5,I start conversations.
10,Extraversion,EXT8,I don't like to draw attention to myself.
10,Openness,OPN1,I have a rich vocabulary.
10,Openness,OPN6,I am currently exploring ways to enhance and stimulate my imagination.
10,Openness,OPN9,I spend time reflecting on things.
11,Agreeableness,AGR1,I feel little concern for others.
11,Agreeableness,AGR10,I make people feel at ease.
11,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
11,Agreeableness,AGR6,I have a soft heart.
11,Conscientiousness,CSN1,I am always prepared.
11,Conscientiousness,CSN3,I pay attention to details.
11,Conscientiousness,CSN4,I have a creative way of arranging things that may appear messy.
11,Conscientiousness,CSN8,I am currently working on being more proactive and responsible in fulfilling my duties.
11,Neuroticism,EST10,I often feel blue.
11,Neuroticism,EST2,I am relaxed most of the time.
11,Neuroticism,EST5,I am easily disturbed.
11,Neuroticism,EST7,I change my mood a lot.
11,Extraversion,EXT3,I feel comfortable around people.
11,Extraversion,EXT5,I start conversations.
11,Extraversion,EXT7,I talk to a lot of different people at parties.
11,Extraversion,EXT8,I don't like to draw attention to myself.
11,Openness,OPN1,I have a rich vocabulary.
11,Openness,OPN6,I am currently exploring ways to enhance and stimulate my imagination.
11,Openness,OPN7,I am quick to understand things.
11,Openness,OPN9,I spend time reflecting on things.
12,Agreeableness,AGR10,I make people feel at ease.
12,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
12,Agreeableness,AGR6,I have a soft heart.
12,Agreeableness,AGR8,I take time out for others.
12,Agreeableness,AGR9,I feel others' emotions.
12,Conscientiousness,CSN1,I am always prepared.
12,Conscientiousness,CSN3,I pay attention to details.
12,Conscientiousness,CSN5,I get chores done right away.
12,Conscientiousness,CSN7,I like order.
12,Neuroticism,EST2,I am relaxed most of the time.
12,Neuroticism,EST4,I seldom feel blue.
12,Neuroticism,EST5,I am easily disturbed.
12,Neuroticism,EST8,I have frequent mood swings.
12,Extraversion,EXT10,I am quiet around strangers.
12,Extraversion,EXT3,I feel comfortable around people.
12,Extraversion,EXT5,I start conversations.
12,Extraversion,EXT8,I don't like to draw attention to myself.
12,Openness,OPN10,I am full of ideas.
12,Openness,OPN4,I am not interested in abstract ideas.
12,Openness,OPN9,I spend time reflecting on things.
13,Agreeableness,AGR10,I make people feel at ease.
13,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
13,Agreeableness,AGR4,I sympathize with others' feelings.
13,Agreeableness,AGR8,I take time out for others.
13,Conscientiousness,CSN1,I am always prepared.
13,Conscientiousness,CSN3,I pay attention to details.
13,Conscientiousness,CSN5,I get chores done right away.
13,Conscientiousness,CSN7,I like order.
13,Neuroticism,EST2,I am relaxed most of the time.
13,Neuroticism,EST4,I seldom feel blue.
13,Neuroticism,EST8,I have frequent mood swings.
13,Neuroticism,EST9,I have a low tolerance for irritation.
13,Extraversion,EXT4,I keep in the background.
13,Extraversion,EXT6,I have little to say.
13,Extraversion,EXT8,I don't like to draw attention to myself.
13,Extraversion,EXT9,I don't mind being the center of attention.
13,Openness,OPN3,I have a vivid imagination.
13,Openness,OPN7,I am quick to understand things.
13,Openness,OPN8,I have a tendency to incorporate complex vocabulary in my communication.
13,Openness,OPN9,I spend time reflecting on things.
14,Agreeableness,AGR10,I make people feel at ease.
14,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
14,Agreeableness,AGR7,I am not really interested in others.
14,Agreeableness,AGR8,I take time out for others.
14,Agreeableness,AGR9,I feel others' emotions.
14,Conscientiousness,CSN1,I am always prepared.
14,Conscientiousness,CSN3,I pay attention to details.
14,Conscientiousness,CSN6,I am actively working on consistently returning items to their rightful positions.
14,Conscientiousness,CSN8,I am currently working on being more proactive and responsible in fulfilling my duties.
14,Neuroticism,EST3,I worry about things.
14,Neuroticism,EST4,I seldom feel blue.
14,Neuroticism,EST5,I am easily disturbed.
14,Neuroticism,EST7,I change my mood a lot.
14,Extraversion,EXT3,I feel comfortable around people.
14,Extraversion,EXT7,I talk to a lot of different people at parties.
14,Extraversion,EXT8,I don't like to draw attention to myself.
14,Extraversion,EXT9,I don't mind being the center of attention.
14,Openness,OPN4,I am not interested in abstract ideas.
14,Openness,OPN5,I have excellent ideas.
14,Openness,OPN9,I spend time reflecting on things.
15,Agreeableness,AGR10,I make people feel at ease.
15,Agreeableness,AGR2,I am interested in people.
15,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
15,Agreeableness,AGR8,I take time out for others.
15,Conscientiousness,CSN1,I am always prepared.
15,Conscientiousness,CSN3,I pay attention to details.
15,Conscientiousness,CSN4,I have a creative way of arranging things that may appear messy.
15,Conscientiousness,CSN7,I like order.
15,Neuroticism,EST10,I often feel blue.
15,Neuroticism,EST3,I worry about things.
15,Neuroticism,EST5,I am easily disturbed.
15,Neuroticism,EST8,I have frequent mood swings.
15,Extraversion,EXT2,I prefer to listen more than I speak.
15,Extraversion,EXT4,I keep in the background.
15,Extraversion,EXT8,I don't like to draw attention to myself.
15,Extraversion,EXT9,I don't mind being the center of attention.
15,Openness,OPN2,I have difficulty understanding abstract ideas.
15,Openness,OPN5,I have excellent ideas.
15,Openness,OPN7,I am quick to understand things.
15,Openness,OPN9,I spend time reflecting on things.
16,Agreeableness,AGR10,I make people feel at ease.
16,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
16,Agreeableness,AGR5,I am not interested in other people's problems.
16,Agreeableness,AGR8,I take time out for others.
16,Agreeableness,AGR9,I feel others' emotions.
16,Conscientiousness,CSN1,I am always prepared.
16,Conscientiousness,CSN3,I pay attention to details.
16,Conscientiousness,CSN4,I have a creative way of arranging things that may appear messy.
16,Conscientiousness,CSN7,I like order.
16,Neuroticism,EST1,I get stressed out easily.
16,Neuroticism,EST10,I often feel blue.
16,Neuroticism,EST8,I have frequent mood swings.
16,Neuroticism,EST9,I have a low tolerance for irritation.
16,Extraversion,EXT1,I am the life of the party.
16,Extraversion,EXT3,I feel comfortable around people.
16,Extraversion,EXT5,I start conversations.
16,Extraversion,EXT8,I don't like to draw attention to myself.
16,Openness,OPN6,I am currently exploring ways to enhance and stimulate my imagination.
16,Openness,OPN8,I have a tendency to incorporate complex vocabulary in my communication.
16,Openness,OPN9,I spend time reflecting on things.
17,Agreeableness,AGR10,I make people feel at ease.
17,Agreeableness,AGR2,I am interested in people.
17,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
17,Agreeableness,AGR8,I take time out for others.
17,Agreeableness,AGR9,I feel others' emotions.
17,Conscientiousness,CSN3,I pay attention to details.
17,Conscientiousness,CSN5,I get chores done right away.
17,Conscientiousness,CSN7,I like order.
17,Conscientiousness,CSN9,I follow a schedule.
17,Neuroticism,EST10,I often feel blue.
17,Neuroticism,EST5,I am easily disturbed.
17,Neuroticism,EST6,I get upset easily.
17,Neuroticism,EST7,I change my mood a lot.
17,Extraversion,EXT3,I feel comfortable around people.
17,Extraversion,EXT7,I talk to a lot of different people at parties.
17,Extraversion,EXT8,I don't like to draw attention to myself.
17,Extraversion,EXT9,I don't mind being the center of attention.
17,Openness,OPN10,I am full of ideas.
17,Openness,OPN8,I have a tendency to incorporate complex vocabulary in my communication.
17,Openness,OPN9,I spend time reflecting on things.
18,Agreeableness,AGR10,I make people feel at ease.
18,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
18,Agreeableness,AGR6,I have a soft heart.
18,Agreeableness,AGR8,I take time out for others.
18,Conscientiousness,CSN2,I prefer to have my belongings conveniently accessible in various locations.
18,Conscientiousness,CSN3,I pay attention to details.
18,Conscientiousness,CSN7,I like order.
18,Conscientiousness,CSN9,I follow a schedule.
18,Neuroticism,EST10,I often feel blue.
18,Neuroticism,EST2,I am relaxed most of the time.
18,Neuroticism,EST5,I am easily disturbed.
18,Neuroticism,EST8,I have frequent mood swings.
18,Extraversion,EXT2,I prefer to listen more than I speak.
18,Extraversion,EXT4,I keep in the background.
18,Extraversion,EXT5,I start conversations.
18,Extraversion,EXT8,I don't like to draw attention to myself.
18,Openness,OPN10,I am full of ideas.
18,Openness,OPN2,I have difficulty understanding abstract ideas.
18,Openness,OPN7,I am quick to understand things.
18,Openness,OPN9,I spend time reflecting on things.
19,Agreeableness,AGR1,I feel little concern for others.
19,Agreeableness,AGR10,I make people feel at ease.
19,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
19,Agreeableness,AGR4,I sympathize with others' feelings.
19,Agreeableness,AGR9,I feel others' emotions.
19,Conscientiousness,CSN1,I am always prepared.
19,Conscientiousness,CSN2,I prefer to have my belongings conveniently accessible in various locations.
19,Conscientiousness,CSN3,I pay attention to details.
19,Conscientiousness,CSN7,I like order.
19,Neuroticism,EST4,I seldom feel blue.
19,Neuroticism,EST6,I get upset easily.
19,Neuroticism,EST7,I change my mood a lot.
19,Neuroticism,EST9,I have a low tolerance for irritation.
19,Extraversion,EXT2,I prefer to listen more than I speak.
19,Extraversion,EXT3,I feel comfortable around people.
19,Extraversion,EXT5,I start conversations.
19,Extraversion,EXT8,I don't like to draw attention to myself.
19,Openness,OPN5,I have excellent ideas.
19,Openness,OPN8,I have a tendency to incorporate complex vocabulary in my communication.
19,Openness,OPN9,I spend time reflecting on things.
20,Agreeableness,AGR10,I make people feel at ease.
20,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
20,Agreeableness,AGR7,I am not really interested in others.
20,Agreeableness,AGR8,I take time out for others.
20,Conscientiousness,CSN2,I prefer to have my belongings conveniently accessible in various locations.
20,Conscientiousness,CSN3,I pay attention to details.
20,Conscientiousness,CSN7,I like order.
20,Conscientiousness,CSN9,I follow a schedule.
20,Neuroticism,EST10,I often feel blue.
20,Neuroticism,EST6,I get upset easily.
20,Neuroticism,EST7,I change my mood a lot.
20,Neuroticism,EST9,I have a low tolerance for irritation.
20,Extraversion,EXT3,I feel comfortable around people.
20,Extraversion,EXT6,I have little to say.
20,Extraversion,EXT8,I don't like to draw attention to myself.
20,Extraversion,EXT9,I don't mind being the center of attention.
20,Openness,OPN1,I have a rich vocabulary.
20,Openness,OPN10,I am full of ideas.
20,Openness,OPN7,I am quick to understand things.
20,Openness,OPN9,I spend time reflecting on things.
21,Agreeableness,AGR10,I make people feel at ease.
21,Agreeableness,AGR2,I am interested in people.
21,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
21,Agreeableness,AGR8,I take time out for others.
21,Agreeableness,AGR9,I feel others' emotions.
21,Conscientiousness,CSN10,I am exacting in my work.
21,Conscientiousness,CSN3,I pay attention to details.
21,Conscientiousness,CSN5,I get chores done right away.
21,Conscientiousness,CSN9,I follow a schedule.
21,Neuroticism,EST10,I often feel blue.
21,Neuroticism,EST3,I worry about things.
21,Neuroticism,EST7,I change my mood a lot.
21,Neuroticism,EST9,I have a low tolerance for irritation.
21,Extraversion,EXT4,I keep in the background.
21,Extraversion,EXT6,I have little to say.
21,Extraversion,EXT8,I don't like to draw attention to myself.
21,Extraversion,EXT9,I don't mind being the center of attention.
21,Openness,OPN10,I am full of ideas.
21,Openness,OPN8,I have a tendency to incorporate complex vocabulary in my communication.
21,Openness,OPN9,I spend time reflecting on things.
22,Agreeableness,AGR10,I make people feel at ease.
22,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
22,Agreeableness,AGR4,I sympathize with others' feelings.
22,Agreeableness,AGR8,I take time out for others.
22,Conscientiousness,CSN1,I am always prepared.
22,Conscientiousness,CSN3,I pay attention to details.
22,Conscientiousness,CSN4,I have a creative way of arranging things that may appear messy.
22,Conscientiousness,CSN7,I like order.
22,Neuroticism,EST4,I seldom feel blue.
22,Neuroticism,EST5,I am easily disturbed.
22,Neuroticism,EST6,I get upset easily.
22,Neuroticism,EST7,I change my mood a lot.
22,Extraversion,EXT4,I keep in the background.
22,Extraversion,EXT7,I talk to a lot of different people at parties.
22,Extraversion,EXT8,I don't like to draw attention to myself.
22,Extraversion,EXT9,I don't mind being the center of attention.
22,Openness,OPN3,I have a vivid imagination.
22,Openness,OPN7,I am quick to understand things.
22,Openness,OPN8,I have a tendency to incorporate complex vocabulary in my communication.
22,Openness,OPN9,I spend time reflecting on things.
23,Agreeableness,AGR10,I make people feel at ease.
23,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
23,Agreeableness,AGR5,I am not interested in other people's problems.
23,Agreeableness,AGR8,I take time out for others.
23,Agreeableness,AGR9,I feel others' emotions.
23,Conscientiousness,CSN1,I am always prepared.
23,Conscientiousness,CSN10,I am exacting in my work.
23,Conscientiousness,CSN3,I pay attention to details.
23,Conscientiousness,CSN5,I get chores done right away.
23,Neuroticism,EST1,I get stressed out easily.
23,Neuroticism,EST10,I often feel blue.
23,Neuroticism,EST5,I am easily disturbed.
23,Neuroticism,EST8,I have frequent mood swings.
23,Extraversion,EXT4,I keep in the background.
23,Extraversion,EXT7,I talk to a lot of different people at parties.
23,Extraversion,EXT8,I don't like to draw attention to myself.
23,Extraversion,EXT9,I don't mind being the center of attention.
23,Openness,OPN2,I have difficulty understanding abstract ideas.
23,Openness,OPN3,I have a vivid imagination.
23,Openness,OPN9,I spend time reflecting on things.
24,Agreeableness,AGR1,I feel little concern for others.
24,Agreeableness,AGR10,I make people feel at ease.
24,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
24,Agreeableness,AGR5,I am not interested in other people's problems.
24,Conscientiousness,CSN1,I am always prepared.
24,Conscientiousness,CSN2,I prefer to have my belongings conveniently accessible in various locations.
24,Conscientiousness,CSN3,I pay attention to details.
24,Conscientiousness,CSN7,I like order.
24,Neuroticism,EST3,I worry about things.
24,Neuroticism,EST4,I seldom feel blue.
24,Neuroticism,EST5,I am easily disturbed.
24,Neuroticism,EST7,I change my mood a lot.
24,Extraversion,EXT3,I feel comfortable around people.
24,Extraversion,EXT7,I talk to a lot of different people at parties.
24,Extraversion,EXT8,I don't like to draw attention to myself.
24,Extraversion,EXT9,I don't mind being the center of attention.
24,Openness,OPN10,I am full of ideas.
24,Openness,OPN4,I am not interested in abstract ideas.
24,Openness,OPN7,I am quick to understand things.
24,Openness,OPN9,I spend time reflecting on things.
25,Agreeableness,AGR1,I feel little concern for others.
25,Agreeableness,AGR10,I make people feel at ease.
25,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
25,Agreeableness,AGR6,I have a soft heart.
25,Conscientiousness,CSN3,I pay attention to details.
25,Conscientiousness,CSN4,I have a creative way of arranging things that may appear messy.
25,Conscientiousness,CSN7,I like order.
25,Conscientiousness,CSN9,I follow a schedule.
25,Neuroticism,EST10,I often feel blue.
25,Neuroticism,EST2,I am relaxed most of the time.
25,Neuroticism,EST7,I change my mood a lot.
25,Neuroticism,EST9,I have a low tolerance for irritation.
25,Extraversion,EXT2,I prefer to listen more than I speak.
25,Extraversion,EXT4,I keep in the background.
25,Extraversion,EXT8,I don't like to draw attention to myself.
25,Extraversion,EXT9,I don't mind being the center of attention.
25,Openness,OPN5,I have excellent ideas.
25,Openness,OPN7,I am quick to understand things.
25,Openness,OPN8,I have a tendency to incorporate complex vocabulary in my communication.
25,Openness,OPN9,I spend time reflecting on things.
26,Agreeableness,AGR10,I make people feel at ease.
26,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
26,Agreeableness,AGR4,I sympathize with others' feelings.
26,Agreeableness,AGR8,I take time out for others.
26,Conscientiousness,CSN1,I am always prepared.
26,Conscientiousness,CSN10,I am exacting in my work.
26,Conscientiousness,CSN3,I pay attention to details.
26,Conscientiousness,CSN5,I get chores done right away.
26,Neuroticism,EST4,I seldom feel blue.
26,Neuroticism,EST5,I am easily disturbed.
26,Neuroticism,EST6,I get upset easily.
26,Neuroticism,EST8,I have frequent mood swings.
26,Extraversion,EXT1,I am the life of the party.
26,Extraversion,EXT4,I keep in the background.
26,Extraversion,EXT5,I start conversations.
26,Extraversion,EXT8,I don't like to draw attention to myself.
26,Openness,OPN3,I have a vivid imagination.
26,Openness,OPN4,I am not interested in abstract ideas.
26,Openness,OPN7,I am quick to understand things.
26,Openness,OPN9,I spend time reflecting on things.
27,Agreeableness,AGR10,I make people feel at ease.
27,Agreeableness,AGR2,I am interested in people.
27,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
27,Agreeableness,AGR8,I take time out for others.
27,Agreeableness,AGR9,I feel others' emotions.
27,Conscientiousness,CSN1,I am always prepared.
27,Conscientiousness,CSN10,I am exacting in my work.
27,Conscientiousness,CSN3,I pay attention to details.
27,Conscientiousness,CSN5,I get chores done right away.
27,Neuroticism,EST10,I often feel blue.
27,Neuroticism,EST2,I am relaxed most of the time.
27,Neuroticism,EST8,I have frequent mood swings.
27,Neuroticism,EST9,I have a low tolerance for irritation.
27,Extraversion,EXT2,I prefer to listen more than I speak.
27,Extraversion,EXT4,I keep in the background.
27,Extraversion,EXT5,I start conversations.
27,Extraversion,EXT8,I don't like to draw attention to myself.
27,Openness,OPN1,I have a rich vocabulary.
27,Openness,OPN6,I am currently exploring ways to enhance and stimulate my imagination.
27,Openness,OPN9,I spend time reflecting on things.
28,Agreeableness,AGR10,I make people feel at ease.
28,Agreeableness,AGR3,I strive to uplift and empower others rather than bringing them down
28,Agreeableness,AGR6,I have a soft heart.
28,Agreeableness,AGR8,I take time out for others.
28,Conscientiousness,CSN10,I am exacting in my work.
28,Conscientiousness,CSN3,I pay attention to details.
28,Conscientiousness,CSN5,I get chores done right away.
28,Conscientiousness,CSN9,I follow a schedule.
28,Neuroticism,EST1,I get stressed out easily.
28,Neuroticism,EST10,I often feel blue.
28,Neuroticism,EST8,I have frequent mood swings.
28,Neuroticism,EST9,I have a low tolerance for irritation.
28,Extraversion,EXT2,I prefer to listen more than I speak.
28,Extraversion,EXT4,I keep in the background.
28,Extraversion,EXT8,I don't like to draw attention to myself.
28,Extraversion,EXT9,I don't mind being the center of attention.
28,Openness,OPN1,I have a rich vocabulary.
28,Openness,OPN10,I am full of ideas.
28,Openness,OPN7,I am quick to understand things.
